,target,SMS,target_num,SMS_clean,SMS_encoded,len_SMS
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,jurong point crazy available bugis n great world la e buffet cine amore wat,"[3621, 233, 448, 463, 943, 35, 52, 205, 944, 78, 2358, 945, 3622, 58]",14
1,ham,Ok lar... Joking wif u oni...,0,ok lar joke wif u oni,"[10, 194, 464, 289, 1, 1460]",6
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry 2 wkly comp win fa cup final tkts 21st 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,"[12, 298, 3, 535, 667, 33, 1461, 856, 424, 1462, 1775, 1776, 20, 1461, 1463, 158, 298, 2359, 24, 2360, 234, 2361]",22
3,ham,U dun say so early hor... U c already then say...,0,u dun early hor u c,"[1, 125, 150, 2362, 1, 85]",6
4,ham,"Nah I don't think he goes to usf, he lives around here though",0,nah think usf live,"[712, 22, 668, 129]",4
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,freemsg hey darle 3 week word d like fun tb ok xxx std chgs send å150 rcv,"[614, 55, 3623, 94, 39, 122, 30, 14, 243, 1464, 10, 227, 773, 3624, 13, 290, 2363]",17
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,brother like speak treat like aids patent,"[391, 14, 159, 408, 14, 3625, 3626]",7
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,"[669, 1079, 1079, 1465, 1777, 1778, 1779, 358, 713, 425, 714, 235, 670, 63, 713]",15
8,spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner value network customer select receivea å900 prize reward claim 09061701461 claim code kl341 valid 12 hour,"[465, 449, 244, 116, 254, 2364, 946, 69, 715, 49, 2365, 49, 264, 2366, 341, 536, 135]",17
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,mobile 11 month u r entitle update late colour mobile camera free mobile update co free 08002986030,"[34, 774, 171, 1, 32, 857, 326, 68, 371, 34, 206, 12, 34, 326, 947, 12, 2367]",17
